date,id,charter_type,name_legal,name,org_type,fed_district_code,city,country,state,fed_regulator2,lei,parent_id
20171231.0,451246.0,200.0,WAYNE BANK AND TRUST CO.,WAYNE B&TC,1.0,7.0,CAMBRIDGE CITY,UNITED STATES,IN,FRS,0,1204533.0
20171231.0,451273.0,310.0,GEDDES FEDERAL SAVINGS AND LOAN ASSOCIATION,GEDDES FS&LA,6.0,2.0,SYRACUSE,UNITED STATES,NY,OCC,0,451273.0
20171231.0,451965.0,200.0,"WELLS FARGO BANK, NATIONAL ASSOCIATION",WELLS FARGO BK NA,1.0,12.0,SIOUX FALLS,UNITED STATES,SD,OCC,KB1H1DSPRFMYMCUFXT09,2741679.0
20171231.0,452104.0,200.0,BANK OF AKRON,BANK OF AKRON,1.0,2.0,AKRON,UNITED STATES,NY,FDIC,0,452104.0
20171231.0,452159.0,200.0,AMERICAN BANK AND TRUST COMPANY,AMERICAN B&TC,1.0,10.0,TULSA,UNITED STATES,OK,FDIC,0,452159.0
20171231.0,452739.0,200.0,"CLAXTON BANK, THE",CLAXTON BK,1.0,6.0,CLAXTON,UNITED STATES,GA,FDIC,0,2662596.0
20171231.0,452841.0,200.0,SPRING VALLEY CITY BANK,SPRING VALLEY CITY BK,1.0,7.0,SPRING VALLEY,UNITED STATES,IL,FDIC,0,1139596.0
20171231.0,452850.0,200.0,UNION STATE BANK,UNION ST BK,1.0,11.0,FLORENCE,UNITED STATES,TX,FDIC,62QLBUYGD5B0HB0RFF84,2190110.0
20171231.0,453147.0,200.0,BANNER BANKS,BANNER BKS,1.0,7.0,BIRNAMWOOD,UNITED STATES,WI,FDIC,549300G0J6GTFXLL2C41,1207691.0
20171231.0,453370.0,320.0,COASTAL HERITAGE BANK,COASTAL HERITAGE BK,1.0,1.0,WEYMOUTH,UNITED STATES,MA,FDIC,0,3919738.0
20171231.0,453446.0,200.0,EAGLE BANK AND TRUST COMPANY,EAGLE B&TC,1.0,8.0,LITTLE ROCK,UNITED STATES,AR,FRS,549300QFP6J5QSZVF805,1100046.0
20171231.0,453839.0,200.0,FIRST STATE BANK OF BLOOMINGTON,FIRST ST BK BLOOMINGTON,1.0,7.0,BLOOMINGTON,UNITED STATES,IL,FDIC,254900R45W3ZMI3IVW43,2310217.0
20171231.0,454340.0,200.0,FIRST STATE BANK,FIRST ST BK,1.0,8.0,CROSSETT,UNITED STATES,AR,FDIC,0,1134797.0
20171231.0,454546.0,200.0,"PEOPLES STATE BANK, THE",PEOPLES ST BK,1.0,7.0,ELLETTSVILLE,UNITED STATES,IN,FDIC,549300GQOPGZ1DO0MZ49,1206676.0
20171231.0,454658.0,200.0,"PAULS VALLEY NATIONAL BANK, THE",PAULS VALLEY NB,1.0,10.0,PAULS VALLEY,UNITED STATES,OK,OCC,0,1062715.0
20171231.0,454676.0,200.0,"BANKFINANCIAL, NATIONAL ASSOCIATION",BANKFINANCIAL NA,1.0,7.0,OLYMPIA FIELDS,UNITED STATES,IL,OCC,54930061HIZ1MCMEOR72,3035928.0
20171231.0,454975.0,310.0,MASSENA SAVINGS AND LOAN,MASSENA S&L,6.0,2.0,MASSENA,UNITED STATES,NY,OCC,0,454975.0
20171231.0,455150.0,200.0,"PAYNE COUNTY BANK, THE",PAYNE CTY BK,1.0,10.0,PERKINS,UNITED STATES,OK,FRS,0,2168977.0
20171231.0,455253.0,200.0,5STAR BANK,5STAR BK,1.0,10.0,COLORADO SPRINGS,UNITED STATES,CO,FDIC,0,4754758.0
20171231.0,455459.0,200.0,FORT DAVIS STATE BANK,FORT DAVIS ST BK,1.0,11.0,FORT DAVIS,UNITED STATES,TX,FDIC,0,2922731.0
