source,id,lender_TopName,Match_Type,highest_parent_id,RSSD,CU_NAME
1.0,3735152,FIRST STATE BANCORPORATION INC,BHC,,,
1.0,373795,USF FEDERAL CREDIT UNION,Credit Union,,373795.0,USF FEDERAL CREDIT UNION
1.0,3744239,ALLEGIANCE BANCSHARES INC,BHC,,,
1.0,3792687,TIAA BOARD OF OVERSEERS,No Match,,,
1.0,3802278,LWCBANCORP INC,BHC,,,
1.0,3808113,BOSP BANCSHARES INC,BHC,,,
1.0,3814310,AXOS FINANCIAL INC,BHC,,,
1.0,3815157,RAYMOND JAMES FINANCIAL INC,BHC,,,
3.0,3823031,SWS GRP,No Match,,,
3.0,3835164,SILVER QUEEN FS,BHC,,,
1.0,3837962,AXIOM BANCSHARES INC,BHC,,,
1.0,3840029,ATLANTIC COAST FINANCIAL CORPORATION,BHC,,,
3.0,3842649,BENEFICIAL STATE FOUNDATION,BHC,,,
3.0,3842658,FIRST FOUNDATION INC,BHC,,,
3.0,3843507,HOMESTREET INC,BHC,,,
1.0,3844269,WSFS FINANCIAL CORPORATION,BHC,,,
1.0,3846405,FIRST FEDERAL BANCORP MHC,BHC,,,
1.0,3846601,FOX CHASE BC,No Match,,,
1.0,3866878,MCHENRY BANCORP INC,BHC,,,
1.0,3869806,DIRECT MORTGAGE CORPORATION,No Match,,,
1.0,3870679,ROCKET MORTGAGE,No Match,,,
2.0,3873401,PHH HOME LOANS,No Match,,,
1.0,3875179,SIERRA PACIFIC MORTGAGE CO INC,No Match,,,
3.0,3875713,SUN WEST MORTGAGE COMPANY INC,No Match,,,
1.0,3881732,THE MONEY SOURCE,No Match,,,
1.0,3882515,FIRST GUARANTY MORTGAGE CORPORATION,No Match,,,
1.0,3919756,GEORGETOWN BANCORP INC,No Match,,,
1.0,3921816,COMMUNITY FIRST FINANCIAL CORPORATION,BHC,,,
1.0,3922466,WASHINGTONFIRST BANKSHARES INC,BHC,,,
1.0,3929821,TALL CITY BSHRS,BHC,,,
1.0,3944628,FCB FINANCIAL HOLDINGS INC,BHC,,,
1.0,3949593,NEWREZ LLC,No Match,,,
1.0,3952191,360 MORTGAGE GROUP LLC,No Match,,,
3.0,3955491,PACIFIC UNION FINANCIAL LLC,No Match,,,
3.0,3962350,ANN ARBOR BANCORP INC,BHC,,,
1.0,3975770,CARLILE BANCSHARES INC,No Match,,,
1.0,4028712,BANKUNITED INC,BHC,,,
1.0,4036324,STATE BANK FINANCIAL CORPORATION,BHC,,,
1.0,4090054,INVESTAR HOLDING CORPORATION,BHC,,,
1.0,4105266,VERITEX HOLDINGS INC,BHC,,,
3.0,4114567,FIRST REPUBLIC BANK,Call_Parent,,,
1.0,4132169,PNBK SPONSOR LLC,BHC,,,
1.0,4156679,CAPGEN CAPITAL GROUP VI LLC,No Match,,,
3.0,416197,VERIDIAN CREDIT UNION,Credit Union,,416197.0,VERIDIAN
1.0,4176855,RBB BANCORP,BHC,,,
1.0,4183442,STANDARD AVB FINANCIAL CORP,BHC,,,
1.0,4191465,VIEWPOINT FNCL GRP,BHC,,,
1.0,4199229,WOODFOREST FINANCIAL GROUP INC,No Match,,,
1.0,4224000,MP (THRIFT) LLC,No Match,,,
1.0,4231585,SP BC,No Match,,,
