date,id_call,charter_type_call,name_legal_call,name_call,org_type_call,fed_district_code_call,city_call,country_call,state_call,fed_regulator2_call,lei_call,parent_id_call,common_id,id,fed_district_code,NONINTEREST-BEARING DEPOSITS (BHC CONSOL. FOREIGN OFC.),INTEREST-BEARING DEPOSITS (BHC CONSOL. U.S. OFC),charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state
20171231.0,361167.0,200.0,SOUTHSIDE BANK,SOUTHSIDE BK,1.0,11.0,TYLER,UNITED STATES,TX,FDIC,549300BEM32ZRV7MJ178,1245068.0,1245068.0,1245068,11,1037401.0,3478046.0,500,TYLER,UNITED STATES,0,549300TC83207VQA2K65,"SOUTHSIDE BANCSHARES, INC.",SOUTHSIDE BSHRS,1,FRS,TX
20171231.0,364449.0,200.0,MONROE BANK & TRUST,MONROE BK & TR,1.0,7.0,MONROE,UNITED STATES,MI,FDIC,0,2907822.0,2907822.0,2907822,7,299838.0,898326.0,500,MONROE,UNITED STATES,0,0,MBT FINANCIAL CORP.,MBT FC,1,FRS,MI
20171231.0,365325.0,200.0,UNITED BANK,UNITED BK,1.0,5.0,FAIRFAX,UNITED STATES,VA,FRS,0,1076217.0,1076217.0,1076217,5,4294724.0,9535904.0,500,CHARLESTON,UNITED STATES,0,0,"UNITED BANKSHARES, INC.",UNITED BSHRS,1,FRS,WV
20171231.0,373115.0,200.0,KENTUCKY BANK,KENTUCKY BK,1.0,4.0,PARIS,UNITED STATES,KY,FDIC,0,1070831.0,1070831.0,1070831,4,167403.0,647901.0,500,PARIS,UNITED STATES,0,0,"KENTUCKY BANCSHARES, INC.",KENTUCKY BSHRS INC,1,FRS,KY
20171231.0,374653.0,200.0,FIRST PREMIER BANK,FIRST PREMIER BK,1.0,9.0,SIOUX FALLS,UNITED STATES,SD,FRS,549300Z77WUYJM3QG591,1842421.0,1842421.0,1842421,9,402366.0,836615.0,500,SIOUX FALLS,UNITED STATES,0,0,UNITED NATIONAL CORPORATION,UNITED NAT CORP,1,FRS,SD
20171231.0,375034.0,200.0,WEST SUBURBAN BANK,WEST SUBURBAN BK,1.0,7.0,LOMBARD,UNITED STATES,IL,FDIC,0,1245705.0,1245705.0,1245705,7,234579.0,1783072.0,500,LOMBARD,UNITED STATES,0,0,"WEST SUBURBAN BANCORP, INC.",WEST SUBURBAN BC,1,FRS,IL
20171231.0,375043.0,200.0,"PEOPLES NATIONAL BANK, NATIONAL ASSOCIATION",PEOPLES NB,1.0,8.0,MOUNT VERNON,UNITED STATES,IL,OCC,549300U8L31JJT1ZDP60,1250437.0,1250437.0,1250437,8,226671.0,785383.0,500,MOUNT VERNON,UNITED STATES,0,0,"MARKET STREET BANCSHARES, INC.",MARKET STREET BSHRS,1,FRS,IL
20171231.0,375502.0,300.0,"PROVIDENT BANK, THE",PROVIDENT BK,6.0,1.0,AMESBURY,UNITED STATES,MA,FDIC,549300GBPH5PK1AIGV76,2838159.0,2838159.0,2838159,1,185851.0,563834.0,500,AMESBURY,UNITED STATES,0,0,PROVIDENT BANCORP,PROVIDENT BC,6,FRS,MA
20171231.0,377908.0,200.0,CENTURY BANK AND TRUST COMPANY,CENTURY B&TC,1.0,1.0,SOMERVILLE,UNITED STATES,MA,FDIC,549300NFO21T5DF35226,1111088.0,1111088.0,1111088,1,736020.0,3180946.0,500,MEDFORD,UNITED STATES,0,0,"CENTURY BANCORP, INC.",CENTURY BC,1,FRS,MA
20171231.0,379920.0,200.0,FIRST NATIONAL BANK OF PENNSYLVANIA,FIRST NB OF PA,1.0,4.0,GREENVILLE,UNITED STATES,PA,OCC,N8T7HW55LK5D2ORCKP39,3005332.0,3005332.0,3005332,4,5720030.0,16679695.0,500,PITTSBURGH,UNITED STATES,0,PCYSKIGYNYFDTBLVZU83,F.N.B. CORPORATION,FNB CORP,1,FRS,PA
