source,lender_TopRSSDID,lender_TopName,normalized_name,date,id,charter_type,name_legal,name,org_type,fed_district_code,city,country,state,fed_regulator2,lei,parent_id,normalized_name_x,fuzzy_matched_name_fr,fuzzy_matched_name_call,normalized_name_y
3.0,1048867,COMMUNITY BANK SYSTEM INC,,20171231.0,509811.0,200.0,"COMMUNITY TRUST BANK, INC.",COMMUNITY TR BK INC,1.0,4.0,PIKEVILLE,UNITED STATES,KY,FRS,0,1070644.0,community bank system incorporated,community bank system incorporated,community trust bank incorporated,community trust bank incorporated
1.0,1070644,COMMUNITY TRUST BANCORP INC,,20171231.0,509811.0,200.0,"COMMUNITY TRUST BANK, INC.",COMMUNITY TR BK INC,1.0,4.0,PIKEVILLE,UNITED STATES,KY,FRS,0,1070644.0,community trust bancorp incorporated,community trust bancorp incorporated,community trust bank incorporated,community trust bank incorporated
1.0,1070345,FIFTH THIRD BANCORP,,20171231.0,723112.0,200.0,FIFTH THIRD BANK,FIFTH THIRD BK,1.0,4.0,CINCINNATI,UNITED STATES,OH,FRS,0,1070345.0,fifth third bancorp,fifth third bancorp,fifth third bank,fifth third bank
1.0,1070448,WESBANCO INC,,20171231.0,645625.0,200.0,"WESBANCO BANK, INC.",WESBANCO BK,1.0,4.0,WHEELING,UNITED STATES,WV,FDIC,QGPGHQ1ENZOOLJRFTH41,1070448.0,wesbanco incorporated,wesbanco incorporated,wesbanco bank incorporated,wesbanco bank incorporated
1.0,1097025,REPUBLIC BANCORP INC,,20171231.0,316354.0,200.0,"REPUBLIC BANK, INCORPORATED",REPUBLIC BK,1.0,9.0,DULUTH,UNITED STATES,MN,FDIC,254900L0RWWYS3CL7721,2070584.0,republic bancorp incorporated,republic bancorp incorporated,republic bank incorporated,republic bank incorporated
1.0,1098303,OLD NATIONAL BANCORP,,20171231.0,208244.0,200.0,OLD NATIONAL BANK,OLD NB,1.0,8.0,EVANSVILLE,UNITED STATES,IN,OCC,549300AT7EB9FJAF0E61,1098303.0,old national bancorp,old national bancorp,old national bank,old national bank
1.0,1099917,FIRST STATE BANCSHARES INC,,20171231.0,633341.0,200.0,"FIRST STATE BANK, INC.",FIRST ST BK,1.0,8.0,CENTRAL CITY,UNITED STATES,KY,FDIC,0,1119440.0,first state bancshares incorporated,first state bancshares incorporated,first state bank incorporated,first state bank incorporated
3.0,1123670,FIRST INTERSTATE BANCSYSTEM INC,,20171231.0,633341.0,200.0,"FIRST STATE BANK, INC.",FIRST ST BK,1.0,8.0,CENTRAL CITY,UNITED STATES,KY,FDIC,0,1119440.0,first interstate bancsystem incorporated,first interstate bancsystem incorporated,first state bank incorporated,first state bank incorporated
1.0,3735152,FIRST STATE BANCORPORATION INC,,20171231.0,633341.0,200.0,"FIRST STATE BANK, INC.",FIRST ST BK,1.0,8.0,CENTRAL CITY,UNITED STATES,KY,FDIC,0,1119440.0,first state bancorporation incorporated,first state bancorporation incorporated,first state bank incorporated,first state bank incorporated
1.0,1131787,SUNTRUST BANKS INC,,20171231.0,3309393.0,200.0,"1ST TRUST BANK, INC.",1ST TR BK INC,1.0,4.0,HAZARD,UNITED STATES,KY,FDIC,0,3309393.0,suntrust banks incorporated,suntrust banks incorporated,1st trust bank incorporated,1st trust bank incorporated
1.0,1204560,FIRST BANCSHARES INC,,20171231.0,3189634.0,200.0,"FIRST BANK OF CHARLESTON, INC.",FIRST BK OF CHARLESTON,1.0,5.0,CHARLESTON,UNITED STATES,WV,FDIC,0,3189634.0,first bancshares incorporated,first bancshares incorporated,first bank of charleston incorporated,first bank of charleston incorporated
1.0,1206760,FIRST MID BANCSHARES INC,,20171231.0,3189634.0,200.0,"FIRST BANK OF CHARLESTON, INC.",FIRST BK OF CHARLESTON,1.0,5.0,CHARLESTON,UNITED STATES,WV,FDIC,0,3189634.0,first mid bancshares incorporated,first bancshares incorporated,first bank of charleston incorporated,first bank of charleston incorporated
1.0,1208184,FIRST MIDWEST BANCORP INC,,20171231.0,222754.0,200.0,"FIRST WESTROADS BANK, INC.",FIRST WESTROADS BK,1.0,10.0,OMAHA,UNITED STATES,NE,FRS,0,1840687.0,first midwest bancorp incorporated,first midwest bancorp incorporated,first westroads bank incorporated,first westroads bank incorporated
2.0,1231333,BANK OF MONTREAL,,20171231.0,3470097.0,200.0,BANK OF MONTANA,BANK OF MT,1.0,9.0,MISSOULA,UNITED STATES,MT,FDIC,0,3470088.0,bank of montreal,,bank of montana,bank of montana
2.0,2016340,FIRST COMMUNITY BANCORP INC,,20171231.0,1440117.0,200.0,COMMUNITY FIRST BANK INC.,COMMUNITY FIRST BK,1.0,5.0,WALHALLA,UNITED STATES,SC,FDIC,549300RZFB670NG8MF92,2593083.0,first community bancorp incorporated,first community bancorp incorporated,community first bank incorporated,community first bank incorporated
3.0,2022734,MERCHANTS AND MANUFACTURERS BANK CORPORATION,,20171231.0,1008432.0,200.0,MERCHANTS AND MANUFACTURERS BANK,MERCHANTS & MANUFACTURERS BK,1.0,7.0,JOLIET,UNITED STATES,IL,FDIC,549300QWUZ3ZGKKC7W73,2022734.0,merchants and manufacturers bank corporation,merchants and manufacturers bank corporation,merchants and manufacturers bank,merchants and manufacturers bank
1.0,2277860,CAPITAL ONE FINANCIAL CORPORATION,,20171231.0,4196291.0,400.0,CAPITAL ONE GLOBAL CORPORATION,CAPITAL ONE GLOBAL CORP,1.0,5.0,MCLEAN,UNITED STATES,VA,FRS,0,2277860.0,capital one financial corporation,capital one financial corporation,capital one global corporation,capital one global corporation
