activity_year_x,lei,tax_id,agency_code_x,id_2017,respondent_rssd,respondent_name_x,respondent_state_x,respondent_city_x,assets,other_lender_code,parent_rssd,parent_name,topholder_rssd,topholder_name,activity_year_y,calendar_quarter,agency_code_y,respondent_name_y,respondent_state_y,respondent_city_y,respondent_zip_code,lar_count
2023,549300CG5TM73650DH84,95-1981100,5,604293,604293,CHRISTIAN COMMUNITY CREDIT UNION,CA,SAN DIMAS,880145,0,-1,,-1,,2023,4,5,Christian Community Credit Union,CA,San Dimas,91773,264
2023,549300C5503CI7DSIP33,72-0474816,5,317388,317388,Bossier Federal Credit Union,LA,Bossier City,249922,0,-1,,-1,,2023,4,5,Bossier Federal Credit Union,LA,Bossier City,71171-5635,16
2023,549300C61LNGA8J8EF85,48-0160040,1,968070,968070,Capitol Federal Savings Bank,KS,Topeka,9950802,0,4226910,"CAPITOL FEDERAL FINANCIAL, INC.",4226910,"CAPITOL FEDERAL FINANCIAL, INC.",2023,4,1,Capitol Federal Savings Bank,KS,Lawrence,66044,2834
2023,549300CKJ4DTUYAZXI11,73-1210302,2,396253,396253,Sovereign Bank,OK,Shawnee,814463,0,5875511,"SOVEREIGN BANCORP, INC.",5875511,"SOVEREIGN BANCORP, INC.",2023,4,2,Sovereign Bank,OK,SHAWNEE,74804,516
2023,549300PG87MHQ7H4CO08,74-0856797,2,,26765,Vantage Bank Texas,TX,San Antonio,3354633,0,5278381,"VBT FINANCIAL CORPORATION, INC",5278381,"VBT FINANCIAL CORPORATION, INC",2023,4,2,VANTAGE BANK TEXAS,TX,San Antonio,78216,369
2023,549300COV0JSM0J8GP39,23-0914898,2,331713,331713,New Tripoli Bank,PA,Lynn Township,617196,0,1138106,"NEW TRIPOLI BANCORP, INC.                                                                                               ",1138106,"NEW TRIPOLI BANCORP, INC.                                                                                               ",2023,4,2,New Tripoli Bank,PA,New Tripoli,18066-0468,188
2023,549300PL8ER6H23P0Z91,26-0360466,7,4186573,4186573,BAY EQUITY LLC,CA,Glendale,-1,3,-1,,-1,,2023,4,7,Bay Equity LLC,CA,Corte Madera,94925,14302
2023,894500VAX8CTDV1CWC26,74-1249840,5,,575795,Texas DPS Credit Union,TX,Austin,105857,0,-1,,-1,,2023,4,5,Texas D P S Credit Union,TX,Austin,78752-2315,24
2023,549300PNITGJVDJVZ876,84-0724893,3,541754,541754,Wray State Bank,CO,Wray,201286,0,3685891,HOTC INVESTMENT CO.,3685891,HOTC INVESTMENT CO.,2023,4,3,Wray State Bank,CO,Wray,80758,90
2023,549300C70VBQUGXHPR07,39-0487540,3,259442,259442,Mound City Bank,WI,Platteville,471862,0,2510428,"MOUND CITY FINANCIAL SERVICES, INC.                                                                                     ",2510428,"MOUND CITY FINANCIAL SERVICES, INC.                                                                                     ",2023,4,3,Mound City Bank,WI,Platteville,53818,189
2023,549300CA0J0Z7OFQBG71,06-0655052,5,523871,523871,CONNEX CREDIT UNION,CT,North Haven,957478,0,-1,,-1,,2023,4,5,CONNEX CREDIT UNION,CT,NORTH HAVEN,06473,1036
2023,549300C4YZ9QY31U5912,58-0163257,3,1011638,1011638,PrimeSouth Bank,GA,Blackshear,1116610,0,1841321,"PRIMESOUTH BANCSHARES, INC.                                                                                             ",2135812,"JONES BANCSHARES, L.P.                                                                                                  ",2023,4,3,PrimeSouth Bank,GA,Blackshear,31516,361
2023,254900JH5HOQQ4CDPC30,31-4247738,1,44929,44929,The First National Bank of McConnelsville,OH,McConnelsville,188801,0,1137891,"FNB SHARES, INC.                                                                                                        ",1137891,"FNB SHARES, INC.                                                                                                        ",2023,4,1,THE FIRST NATIONAL BANK OF MCCONNELSVILLE,OH,MCCONNELSVILLE,43756,106
