idrssd,year,bank_name,assets_c,tier1_capital_c,total_loans_c
257653,2022,Farmers And Merchants Bank,61058,8056,0
257756,2022,FMS Bank,257297,24588,0
258146,2022,North Adams State Bank,49466,6404,0
258306,2022,The Milford Bank,542721,52588,0
258379,2022,"Taylorsville Savings Bank, Ssb",132752,13484,0
258445,2022,Marine Bank,739238,71466,459
258539,2022,State Bank Of Cherry,117635,13121,0
258771,2022,HomeStreet Bank,7158676,727753,176131
258874,2022,"Worthington Federal Savings Bank, F.S.B.",100554,13765,0
259059,2022,F&M Bank - Falls City,134044,12612,0
259330,2022,First US Bank,958219,87379,0
259442,2022,Mound City Bank,449561,51120,1939
259956,2022,"State Savings Bank Of Manistique, The",166638,15906,0
260055,2022,Alpine Bank,6214399,493469,12013
260831,2022,The Bank of Soperton,133877,13018,0
260868,2022,"Spirit of Texas Bank, ssb",3263604,332686,3472
261146,2022,Magnolia Bank,456669,58023,70212
261360,2022,Citizens State Bank,964232,95270,760
261940,2022,Anstaff Bank,962373,81462,1122
262059,2022,AVB Bank,486642,46636,0
262237,2022,First Port City Bank,399725,30708,1551
262358,2022,American State Bank,598770,49951,224
262741,2022,Farmers Bank & Trust Company,497372,45468,0
262844,2022,Peoples State Bank,949364,94351,0
262956,2022,PEOPLES STATE BANK OF MUNISING,191759,19159,0
263243,2022,"FIRST KENTUCKY BANK, INC.",535168,45400,226
263627,2022,The First National Bank Of Waverly,199781,14927,0
264455,2022,First State Bank,656239,62434,0
264772,2022,"LENDINGCLUB BANK, NATIONAL ASSOCIATION",4322051,523748,335449
265340,2022,The Farmers Bank Of Milton,312585,37564,0
265407,2022,Bank Of New Hampshire,2315197,228675,0
265452,2022,The Stockgrowers State Bank,104878,10574,0
265676,2022,CENTRAL BANK,129713,13507,0
266066,2022,First National Bank,255238,35161,128
266244,2022,State Bank,305960,23019,0
266253,2022,Acb Bank,120621,15283,0
266655,2022,First Bank & Trust of Fullerton,102242,14109,0
266851,2022,Farmers And Merchants Bank Of St. Clair,291677,32022,144
266945,2022,Monticello Banking Company,1006405,91716,0
267652,2022,Security State Bank of Aitkin,127438,13448,0
268006,2022,Mascoma Bank,2644953,220537,3492
268136,2022,The Citizens Bank Of Swainsboro,302152,28615,0
268677,2022,Carver Federal Savings Bank,723256,73396,0
268828,2022,Legacy Bank,332846,70228,0
268976,2022,Winchester Co-operative Bank,798947,95751,676
269049,2022,VisionBank of Iowa,600366,60378,240
269058,2022,Lake Central Bank,217958,21218,0
269571,2022,Armstrong County Building and Loan Association,92834,12970,0
269759,2022,Farmers And Merchants State Bank Of Appleton,59830,6808,0
270148,2022,State Bank of Whittington,169272,15999,0
270353,2022,Arlington State Bank,68825,5684,0
270504,2022,Community National Bank,1018533,86654,339
270531,2022,Brickyard Bank,182934,15629,0
270652,2022,Security State Bank,97603,9221,0
271136,2022,Bank of Louisiana,101395,8259,0
271275,2022,Dean Co-operative Bank,438140,34169,300
271341,2022,Peoples Bank Mt Washington,111427,11509,0
271529,2022,Countybank,671887,53759,12067
272030,2022,The Peoples Bank of Georgia,134486,12216,0
272058,2022,State Bank Of Bellingham,53085,6426,0
272151,2022,"Granger National Bank, The",48483,5909,0
